from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_route_id,to_route_id,from_trip_id,to_trip_id
474769,70123,2,15,0,0,0,0
70123,474769,2,15,0,0,0,0
474769,REG_476969,2,15,0,0,0,0
REG_476969,474769,2,15,0,0,0,0
70123,REG_476969,2,29,0,0,0,0
REG_476969,70123,2,29,0,0,0,0
516331,225087,2,0,0,0,0,0
225087,516331,2,0,0,0,0,0
492732,452980,2,0,0,0,0,0
452980,492732,2,0,0,0,0,0
405511,290722,2,0,0,0,0,0
290722,405511,2,0,0,0,0,0
213572,581834,2,0,0,0,0,0
581834,213572,2,0,0,0,0,0
403178,527531,2,77,0,0,0,0
527531,403178,2,77,0,0,0,0
228903,632712,2,0,0,0,0,0
632712,228903,2,0,0,0,0,0
327584,486420,2,0,0,0,0,0
486420,327584,2,0,0,0,0,0
207764,513772,2,0,0,0,0,0
513772,207764,2,0,0,0,0,0
570491,205453,2,0,0,0,0,0
205453,570491,2,0,0,0,0,0
235320,37061,2,0,0,0,0,0
37061,235320,2,0,0,0,0,0
462005,629401,2,0,0,0,0,0
629401,462005,2,0,0,0,0,0
124765,450717,2,0,0,0,0,0
450717,124765,2,0,0,0,0,0
413039,352384,2,1,0,0,0,0
352384,413039,2,1,0,0,0,0
536022,38102,2,0,0,0,0,0
38102,536022,2,0,0,0,0,0
35849,451129,2,0,0,0,0,0
451129,35849,2,0,0,0,0,0
340523,111449,2,0,0,0,0,0
111449,340523,2,0,0,0,0,0
83773,236036,2,0,0,0,0,0
236036,83773,2,0,0,0,0,0
489599,509744,2,40,0,0,0,0
509744,489599,2,40,0,0,0,0
489599,REG_626006,2,17,0,0,0,0
REG_626006,489599,2,17,0,0,0,0
509744,REG_626006,2,55,0,0,0,0
REG_626006,509744,2,55,0,0,0,0
191872,248347,2,1,0,0,0,0
248347,191872,2,1,0,0,0,0
203501,288369,2,58,0,0,0,0
288369,203501,2,58,0,0,0,0
347749,109709,2,200,0,0,0,0
109709,347749,2,200,0,0,0,0
90405,631298,2,0,0,0,0,0
631298,90405,2,0,0,0,0,0
435185,334680,2,0,0,0,0,0
334680,435185,2,0,0,0,0,0
195380,400127,2,0,0,0,0,0
400127,195380,2,0,0,0,0,0
532332,144809,2,0,0,0,0,0
144809,532332,2,0,0,0,0,0
343505,400307,2,0,0,0,0,0
400307,343505,2,0,0,0,0,0
109091,273273,2,0,0,0,0,0
273273,109091,2,0,0,0,0,0
659392,601356,2,0,0,0,0,0
601356,659392,2,0,0,0,0,0
216266,423908,2,0,0,0,0,0
423908,216266,2,0,0,0,0,0
625437,461857,2,1,0,0,0,0
461857,625437,2,1,0,0,0,0
629326,58073,2,27,0,0,0,0
58073,629326,2,27,0,0,0,0
387864,22940,2,7,0,0,0,0
22940,387864,2,7,0,0,0,0
143024,590176,2,62,0,0,0,0
590176,143024,2,62,0,0,0,0
111039,243678,2,0,0,0,0,0
243678,111039,2,0,0,0,0,0
377382,125242,2,157,0,0,0,0
125242,377382,2,157,0,0,0,0
377382,REG_397527,2,178,0,0,0,0
REG_397527,377382,2,178,0,0,0,0
