route_id,service_id,trip_id
25,594,1155909
25,598,1131260
25,615,766964
25,616,1135188
25,616,365428
25,616,554321
25,620,163060
25,65,1030030
25,65,279438
25,683,1259474
25,690,900748
25,7,1179515
25,7,359668
25,749,547656
25,758,1072304
25,758,1249612
25,758,126122
25,758,29045
25,758,323813
25,758,550943
25,758,745077
25,758,801975
25,758,820404
25,765,819429
25,770,733564
25,770,984569
25,772,31616
25,772,498865
25,774,625731
25,798,1053011
25,798,1170386
25,807,1448817
25,823,226422
25,843,1236418
25,843,57237
25,843,988091
25,845,568710
25,85,757806
25,869,1133077
25,871,1434200
25,871,857003
25,879,389795
25,89,301342
25,9,1357528
25,912,1491262
25,92,1479833
25,934,432268
25,94,77907
25,942,924928
25,960,175391
26,167,1263180
26,167,360119
26,167,39986
26,167,439767
26,244,353570
26,279,864273
26,483,1298520
26,501,539087
26,671,802604
26,676,1368410
27,142,208375
27,175,586706
27,234,1000977
27,275,179071
27,284,374596
27,312,1017402
27,312,23381
27,312,517736
27,312,656767
27,361,1397158
27,365,181037
27,37,58276
27,415,1479421
27,433,36402
27,480,1084920
27,534,1112875
27,534,1386229
27,593,852238
27,596,209613
27,629,1035292
27,633,1110119
27,633,1149880
27,633,1246756
27,633,1391324
27,633,368917
27,633,720022
27,633,896432
27,633,956762
27,638,24512
27,680,1320836
27,710,430916
27,798,1027857
27,798,1113311
27,798,136239
27,798,13864
27,798,192670
27,798,263341
27,798,286104
27,798,442500
27,798,725137
27,798,885397
27,862,1053305
27,862,1069041
27,862,1079280
27,862,1159757
27,862,1325626
27,862,1360822
27,862,1419465
27,862,1420458
27,862,146418
27,862,1469105
27,862,338095
27,862,566868
27,872,1190748
27,91,345444
28,149,712383
28,149,761463
28,202,1225478
28,202,642382
28,278,1063104
28,278,1347887
28,278,1402237
28,278,229812
28,278,471691
28,278,587711
28,519,1320541
28,519,863556
29,102,1102917
29,102,1117863
29,102,1194336
29,102,1243008
29,102,124705
29,102,1285641
29,102,1430883
29,102,1447823
29,102,1486857
29,102,1492275
29,102,22528
29,102,234235
29,102,250611
29,102,329013
29,102,423181
29,102,431983
29,102,444617
29,102,476942
29,102,479474
29,102,489027
29,102,492533
29,102,538750
29,102,577824
29,102,581235
29,102,62449
29,102,627044
29,102,636082
29,102,795278
29,102,863686
29,102,871241
29,163,727860
29,230,1341391
29,234,1367183
29,239,350929
29,265,1087394
29,265,1149679
29,265,1176648
29,265,1325416
29,265,378622
29,265,479975
29,265,606206
29,265,82662
29,265,836314
29,294,1310076
29,302,1335172
29,302,516704
29,302,80457
29,305,617569
29,316,787742
29,330,22596
29,331,1084523
29,331,1208758
29,331,1218964
29,331,1321604
29,331,1365594
29,331,177359
29,331,344212
29,331,484703
29,331,516721
29,331,599926
29,331,638807
29,331,678711
29,331,841913
29,331,890806
29,331,979664
29,366,100316
29,366,165324
