stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
Waldmünchen,,REG_454881,49.377888,12.696007,1.0,
Waldmünchen,454881.0,REG_245976,49.377888,12.696007,,
Waldshut,336642.0,REG_660363,47.62137,8.219526,,
Waldshut Bahnhof,,REG_336642,47.621567,8.21919,1.0,
Waldsolms-Brandoberndorf,,REG_242858,50.432682,8.488378,1.0,
Waldsolms-Hasselborn,,REG_424041,50.406624,8.495326,1.0,
Walhausen (Saar),,REG_277654,49.5588,7.129379,1.0,
Walhausen(Saar),277654.0,REG_234943,49.559387,7.128997,,2
Walhausen(Saar),277654.0,REG_252497,49.558285,7.129648,,1
Walheim,,REG_473249,49.010895,9.15209,1.0,
Walheim(Württ),473249.0,REG_18858,49.01094,9.152118,,
Walkenried,,REG_79162,51.584827,10.608951,1.0,
Walkenried,79162.0,REG_29298,51.58486,10.608959,,
